symbol,date,close,high,low,number_of_trades,open,quote_volume,taker_quote_volume,taker_volume,volume
BTCUSDT,2017-10-30,6120.5,6248.68,6030.0,9027,6133.01,9030219.28673499,3484470.96871416,568.13297,1473.687043
BTCUSDT,2017-10-31,6463.0,6498.01,6100.0,12503,6120.52,9487640.8400991,4189144.86604943,666.763568,1511.774925
BTCUSDT,2017-11-01,6753.98,6774.67,6338.02,16775,6463.0,10951171.07254041,4456444.95893702,681.762424,1675.615188
BTCUSDT,2017-11-02,7019.98,7300.0,6685.1,20222,6753.98,17369001.33091877,8002005.80575711,1152.043042,2503.610803
BTCUSDT,2017-11-03,7115.04,7346.34,6923.0,15375,7010.31,13614451.74654126,5689002.21482195,790.186344,1891.497592
BTCUSDT,2017-11-04,7357.09,7480.99,6901.0,13395,7115.02,10064538.39659038,4597312.95311455,638.387268,1399.191767
BTCUSDT,2017-11-05,7345.01,7590.25,7279.02,11090,7357.27,9000403.86573288,4027338.87761942,540.675195,1207.83233
BTCUSDT,2017-11-06,6960.12,7401.0,6906.0,13525,7345.1,12673524.6216398,5258426.96569148,730.003787,1763.019261
BTCUSDT,2017-11-07,7064.04,7198.49,6901.0,13132,6981.72,10173272.33780804,4181187.39303234,591.187992,1440.259494
BTCUSDT,2017-11-08,7303.0,7770.02,6651.0,24381,7070.0,20491286.19840822,9394534.42380506,1291.344472,2822.298802
BTCUSDT,2017-11-09,7079.99,7392.0,7015.0,13818,7303.01,13798534.34721742,5221300.62862515,724.154878,1913.398308
BTCUSDT,2017-11-10,6506.98,7279.91,6255.01,18889,7079.0,22083345.18396158,10594456.21115611,1565.261439,3254.704105
BTCUSDT,2017-11-11,6245.05,6797.98,6100.0,17840,6503.0,17681445.46474999,7260382.61767693,1127.476148,2754.156861
BTCUSDT,2017-11-12,5811.03,6630.0,5325.01,31069,6245.05,29711508.60084671,13607604.41635319,2267.410744,4968.483069
BTCUSDT,2017-11-13,6465.99,6697.47,5699.99,16165,5839.94,16498136.09913936,8190123.54546063,1299.996919,2621.243039
BTCUSDT,2017-11-14,6574.99,6684.98,6311.07,10476,6465.99,8168729.97122799,3991112.7307127,612.136202,1254.292531
BTCUSDT,2017-11-15,7240.06,7298.0,6575.99,10313,6575.99,12446186.45092821,6705958.0325874,958.59199,1779.605845
BTCUSDT,2017-11-16,7864.5,7940.0,7076.0,14961,7240.14,17499577.25815967,8973214.5702364,1196.410717,2331.95675
BTCUSDT,2017-11-17,7699.19,7989.0,7451.0,22012,7876.98,31024092.61951179,14893068.96849563,1910.208237,3982.395925
BTCUSDT,2017-11-18,7761.94,7819.99,7422.0,18383,7680.01,30334498.31525712,14512569.88845333,1891.340324,3954.266477
BTCUSDT,2017-11-19,8038.0,8123.15,7650.33,14897,7761.94,30322635.7689457,16448877.84771707,2097.613346,3867.340444
BTCUSDT,2017-11-20,8212.0,8319.99,7954.0,20101,8057.11,31567135.38731295,14741452.72913412,1816.366339,3886.634348
BTCUSDT,2017-11-21,8119.51,8400.0,7801.0,20798,8212.49,37074997.58090905,18131894.11366924,2222.291215,4544.474016
BTCUSDT,2017-11-22,8205.92,8322.68,8091.09,14752,8091.09,29124078.47217724,14992767.17647145,1823.860374,3545.00571
BTCUSDT,2017-11-23,8019.99,8260.0,8000.0,16625,8233.03,33400702.99957629,17665030.24869222,2163.755131,4093.952687
BTCUSDT,2017-11-24,8138.0,8369.0,7850.0,19754,8019.97,35840264.45804051,17613353.73937526,2166.425275,4411.789112
BTCUSDT,2017-11-25,8700.01,8734.78,8090.0,18632,8138.99,36093005.20140187,19306904.20494265,2294.9233,4292.623682
BTCUSDT,2017-11-26,9128.02,9350.0,8604.72,19268,8700.04,37138533.83941873,18226481.88953511,2035.291755,4147.380237
